qid,question,context,answer
1095,Who's control did the Chinese Communists escape in the 1930's?,"On 30 September, Zhou Enlai warned the United States that China was prepared to intervene in Korea if the United States crossed the 38th parallel. Zhou attempted to advise North Korean commanders on how to conduct a general withdrawal by using the same tactics which had allowed Chinese communist forces to successfully escape Chiang Kai-shek's Encirclement Campaigns in the 1930s, but by some accounts North Korean commanders did not utilize these tactics effectively. Historian Bruce Cumings argues, however, the KPA's rapid withdrawal was strategic, with troops melting into the mountains from where they could launch guerrilla raids on the UN forces spread out on the coasts.",Chiang Kai-shek
1096,About what percentage of uranium oxide is absorbed when ingested?,"Most ingested uranium is excreted during digestion. Only 0.5% is absorbed when insoluble forms of uranium, such as its oxide, are ingested, whereas absorption of the more soluble uranyl ion can be up to 5%. However, soluble uranium compounds tend to quickly pass through the body, whereas insoluble uranium compounds, especially when inhaled by way of dust into the lungs, pose a more serious exposure hazard. After entering the bloodstream, the absorbed uranium tends to bioaccumulate and stay for many years in bone tissue because of uranium's affinity for phosphates. Uranium is not absorbed through the skin, and alpha particles released by uranium cannot penetrate the skin.",0.5%
1097,Up to what percentage of uranyl ion can be absorbed when ingested?,"Most ingested uranium is excreted during digestion. Only 0.5% is absorbed when insoluble forms of uranium, such as its oxide, are ingested, whereas absorption of the more soluble uranyl ion can be up to 5%. However, soluble uranium compounds tend to quickly pass through the body, whereas insoluble uranium compounds, especially when inhaled by way of dust into the lungs, pose a more serious exposure hazard. After entering the bloodstream, the absorbed uranium tends to bioaccumulate and stay for many years in bone tissue because of uranium's affinity for phosphates. Uranium is not absorbed through the skin, and alpha particles released by uranium cannot penetrate the skin.",5%
1098,Who vowed to intervene if the US was to engage in conflict North of the 38th parallel?,"On 30 September, Zhou Enlai warned the United States that China was prepared to intervene in Korea if the United States crossed the 38th parallel. Zhou attempted to advise North Korean commanders on how to conduct a general withdrawal by using the same tactics which had allowed Chinese communist forces to successfully escape Chiang Kai-shek's Encirclement Campaigns in the 1930s, but by some accounts North Korean commanders did not utilize these tactics effectively. Historian Bruce Cumings argues, however, the KPA's rapid withdrawal was strategic, with troops melting into the mountains from where they could launch guerrilla raids on the UN forces spread out on the coasts.",China
1099,What may have been North Korea's goal in the way they rapidly withdrew from South Korea?,"On 30 September, Zhou Enlai warned the United States that China was prepared to intervene in Korea if the United States crossed the 38th parallel. Zhou attempted to advise North Korean commanders on how to conduct a general withdrawal by using the same tactics which had allowed Chinese communist forces to successfully escape Chiang Kai-shek's Encirclement Campaigns in the 1930s, but by some accounts North Korean commanders did not utilize these tactics effectively. Historian Bruce Cumings argues, however, the KPA's rapid withdrawal was strategic, with troops melting into the mountains from where they could launch guerrilla raids on the UN forces spread out on the coasts.",launch guerrilla raids
1100,During what years was Cao Xueqin alive?,"Red was also featured in Chinese Imperial architecture. In the Tang and Song Dynasties, gates of palaces were usually painted red, and nobles often painted their entire mansion red. One of the most famous works of Chinese literature, A Dream of Red Mansions by Cao Xueqin (1715–1763), was about the lives of noble women who passed their lives out of public sight within the walls of such mansions. In later dynasties red was reserved for the walls of temples and imperial residences. When the Manchu rulers of the Qing Dynasty conquered the Ming and took over the Forbidden City and Imperial Palace in Beijing, all the walls, gates, beams and pillars were painted in red and gold.",1715–1763
1101,In late Chinese dynasties red was used only on what kind of architecture?,"Red was also featured in Chinese Imperial architecture. In the Tang and Song Dynasties, gates of palaces were usually painted red, and nobles often painted their entire mansion red. One of the most famous works of Chinese literature, A Dream of Red Mansions by Cao Xueqin (1715–1763), was about the lives of noble women who passed their lives out of public sight within the walls of such mansions. In later dynasties red was reserved for the walls of temples and imperial residences. When the Manchu rulers of the Qing Dynasty conquered the Ming and took over the Forbidden City and Imperial Palace in Beijing, all the walls, gates, beams and pillars were painted in red and gold.",temples and imperial residences
1102,Who painted the walls of the Forbidden city red after the fall of the Ming dynasty?,"Red was also featured in Chinese Imperial architecture. In the Tang and Song Dynasties, gates of palaces were usually painted red, and nobles often painted their entire mansion red. One of the most famous works of Chinese literature, A Dream of Red Mansions by Cao Xueqin (1715–1763), was about the lives of noble women who passed their lives out of public sight within the walls of such mansions. In later dynasties red was reserved for the walls of temples and imperial residences. When the Manchu rulers of the Qing Dynasty conquered the Ming and took over the Forbidden City and Imperial Palace in Beijing, all the walls, gates, beams and pillars were painted in red and gold.",Qing Dynasty
1103,who wrote A dream of Red Mansions?,"Red was also featured in Chinese Imperial architecture. In the Tang and Song Dynasties, gates of palaces were usually painted red, and nobles often painted their entire mansion red. One of the most famous works of Chinese literature, A Dream of Red Mansions by Cao Xueqin (1715–1763), was about the lives of noble women who passed their lives out of public sight within the walls of such mansions. In later dynasties red was reserved for the walls of temples and imperial residences. When the Manchu rulers of the Qing Dynasty conquered the Ming and took over the Forbidden City and Imperial Palace in Beijing, all the walls, gates, beams and pillars were painted in red and gold.",Cao Xueqin
1104,Who painted their mansions red during the Song and Tang dynasties?,"Red was also featured in Chinese Imperial architecture. In the Tang and Song Dynasties, gates of palaces were usually painted red, and nobles often painted their entire mansion red. One of the most famous works of Chinese literature, A Dream of Red Mansions by Cao Xueqin (1715–1763), was about the lives of noble women who passed their lives out of public sight within the walls of such mansions. In later dynasties red was reserved for the walls of temples and imperial residences. When the Manchu rulers of the Qing Dynasty conquered the Ming and took over the Forbidden City and Imperial Palace in Beijing, all the walls, gates, beams and pillars were painted in red and gold.",nobles
1105,Who created the Ming Dynasty? ,"In 1368, a Han Chinese revolt known as the Red Turban Rebellion toppled the Mongol Yuan dynasty in China. Zhu Yuanzhang then established the Ming dynasty, ruling as the Hongwu Emperor (r. 1368–1398). It is not clear how much the early Ming court understood the civil war going on in Tibet between rival religious sects, but the first emperor was anxious to avoid the same trouble that Tibet had caused for the Tang dynasty. Instead of recognizing the Phagmodru ruler, the Hongwu Emperor sided with the Karmapa of the nearer Kham region and southeastern Tibet, sending envoys out in the winter of 1372–1373 to ask the Yuan officeholders to renew their titles for the new Ming court.",Zhu Yuanzhang
1106,Who caused the Yuan dynasty to fall?,"In 1368, a Han Chinese revolt known as the Red Turban Rebellion toppled the Mongol Yuan dynasty in China. Zhu Yuanzhang then established the Ming dynasty, ruling as the Hongwu Emperor (r. 1368–1398). It is not clear how much the early Ming court understood the civil war going on in Tibet between rival religious sects, but the first emperor was anxious to avoid the same trouble that Tibet had caused for the Tang dynasty. Instead of recognizing the Phagmodru ruler, the Hongwu Emperor sided with the Karmapa of the nearer Kham region and southeastern Tibet, sending envoys out in the winter of 1372–1373 to ask the Yuan officeholders to renew their titles for the new Ming court.",the Red Turban Rebellion
1107,What years did Zhu Yuanzhang rule as the Hongwu Emperor?,"In 1368, a Han Chinese revolt known as the Red Turban Rebellion toppled the Mongol Yuan dynasty in China. Zhu Yuanzhang then established the Ming dynasty, ruling as the Hongwu Emperor (r. 1368–1398). It is not clear how much the early Ming court understood the civil war going on in Tibet between rival religious sects, but the first emperor was anxious to avoid the same trouble that Tibet had caused for the Tang dynasty. Instead of recognizing the Phagmodru ruler, the Hongwu Emperor sided with the Karmapa of the nearer Kham region and southeastern Tibet, sending envoys out in the winter of 1372–1373 to ask the Yuan officeholders to renew their titles for the new Ming court.",1368–1398
1108,Who did the Hongwu Emperor send convoys to?,"In 1368, a Han Chinese revolt known as the Red Turban Rebellion toppled the Mongol Yuan dynasty in China. Zhu Yuanzhang then established the Ming dynasty, ruling as the Hongwu Emperor (r. 1368–1398). It is not clear how much the early Ming court understood the civil war going on in Tibet between rival religious sects, but the first emperor was anxious to avoid the same trouble that Tibet had caused for the Tang dynasty. Instead of recognizing the Phagmodru ruler, the Hongwu Emperor sided with the Karmapa of the nearer Kham region and southeastern Tibet, sending envoys out in the winter of 1372–1373 to ask the Yuan officeholders to renew their titles for the new Ming court.",Yuan officeholders
1109,Who ruled as the the Hongwu Emperor?,"In 1368, a Han Chinese revolt known as the Red Turban Rebellion toppled the Mongol Yuan dynasty in China. Zhu Yuanzhang then established the Ming dynasty, ruling as the Hongwu Emperor (r. 1368–1398). It is not clear how much the early Ming court understood the civil war going on in Tibet between rival religious sects, but the first emperor was anxious to avoid the same trouble that Tibet had caused for the Tang dynasty. Instead of recognizing the Phagmodru ruler, the Hongwu Emperor sided with the Karmapa of the nearer Kham region and southeastern Tibet, sending envoys out in the winter of 1372–1373 to ask the Yuan officeholders to renew their titles for the new Ming court.",Zhu Yuanzhang
1110,Where did 'Britain's Waterloo' occur?,"The Suez Crisis very publicly exposed Britain's limitations to the world and confirmed Britain's decline on the world stage, demonstrating that henceforth it could no longer act without at least the acquiescence, if not the full support, of the United States. The events at Suez wounded British national pride, leading one MP to describe it as ""Britain's Waterloo"" and another to suggest that the country had become an ""American satellite"". Margaret Thatcher later described the mindset she believed had befallen the British political establishment as ""Suez syndrome"", from which Britain did not recover until the successful recapture of the Falkland Islands from Argentina in 1982.",Suez
1111,Who referred to 'Suez Syndrome'?,"The Suez Crisis very publicly exposed Britain's limitations to the world and confirmed Britain's decline on the world stage, demonstrating that henceforth it could no longer act without at least the acquiescence, if not the full support, of the United States. The events at Suez wounded British national pride, leading one MP to describe it as ""Britain's Waterloo"" and another to suggest that the country had become an ""American satellite"". Margaret Thatcher later described the mindset she believed had befallen the British political establishment as ""Suez syndrome"", from which Britain did not recover until the successful recapture of the Falkland Islands from Argentina in 1982.",Margaret Thatcher
1112,When did Britain retake the Falkland Islands?,"The Suez Crisis very publicly exposed Britain's limitations to the world and confirmed Britain's decline on the world stage, demonstrating that henceforth it could no longer act without at least the acquiescence, if not the full support, of the United States. The events at Suez wounded British national pride, leading one MP to describe it as ""Britain's Waterloo"" and another to suggest that the country had become an ""American satellite"". Margaret Thatcher later described the mindset she believed had befallen the British political establishment as ""Suez syndrome"", from which Britain did not recover until the successful recapture of the Falkland Islands from Argentina in 1982.",1982
1113,A British minister thought which country was becoming an 'American satellite'?,"The Suez Crisis very publicly exposed Britain's limitations to the world and confirmed Britain's decline on the world stage, demonstrating that henceforth it could no longer act without at least the acquiescence, if not the full support, of the United States. The events at Suez wounded British national pride, leading one MP to describe it as ""Britain's Waterloo"" and another to suggest that the country had become an ""American satellite"". Margaret Thatcher later described the mindset she believed had befallen the British political establishment as ""Suez syndrome"", from which Britain did not recover until the successful recapture of the Falkland Islands from Argentina in 1982.",Britain
1114,From whom did Britain retake the Falkland Islands?,"The Suez Crisis very publicly exposed Britain's limitations to the world and confirmed Britain's decline on the world stage, demonstrating that henceforth it could no longer act without at least the acquiescence, if not the full support, of the United States. The events at Suez wounded British national pride, leading one MP to describe it as ""Britain's Waterloo"" and another to suggest that the country had become an ""American satellite"". Margaret Thatcher later described the mindset she believed had befallen the British political establishment as ""Suez syndrome"", from which Britain did not recover until the successful recapture of the Falkland Islands from Argentina in 1982.",Argentina
1115,What can be deployed in fixed launchers but re-deploy at will?,"Larger SAMs may be deployed in fixed launchers, but can be towed/re-deployed at will. The SAMs launched by individuals are known in the United States as the Man-Portable Air Defence Systems (MANPADS). MANPADS of the former Soviet Union have been exported around the World, and can be found in use by many armed forces. Targets for non-ManPAD SAMs will usually be acquired by air-search radar, then tracked before/while a SAM is ""locked-on"" and then fired. Potential targets, if they are military aircraft, will be identified as friend or foe before being engaged. The developments in the latest and relatively cheap short-range missiles have begun to replace autocannons in this role.",Larger SAMs
1116,Short range missiles are replacing what weapons?,"Larger SAMs may be deployed in fixed launchers, but can be towed/re-deployed at will. The SAMs launched by individuals are known in the United States as the Man-Portable Air Defence Systems (MANPADS). MANPADS of the former Soviet Union have been exported around the World, and can be found in use by many armed forces. Targets for non-ManPAD SAMs will usually be acquired by air-search radar, then tracked before/while a SAM is ""locked-on"" and then fired. Potential targets, if they are military aircraft, will be identified as friend or foe before being engaged. The developments in the latest and relatively cheap short-range missiles have begun to replace autocannons in this role.",autocannons
1117,How are targets aquired for non-ManPAD SAMs?,"Larger SAMs may be deployed in fixed launchers, but can be towed/re-deployed at will. The SAMs launched by individuals are known in the United States as the Man-Portable Air Defence Systems (MANPADS). MANPADS of the former Soviet Union have been exported around the World, and can be found in use by many armed forces. Targets for non-ManPAD SAMs will usually be acquired by air-search radar, then tracked before/while a SAM is ""locked-on"" and then fired. Potential targets, if they are military aircraft, will be identified as friend or foe before being engaged. The developments in the latest and relatively cheap short-range missiles have begun to replace autocannons in this role.",air-search radar
1118,What are the SAMs called that are launched by individuals in the US?,"Larger SAMs may be deployed in fixed launchers, but can be towed/re-deployed at will. The SAMs launched by individuals are known in the United States as the Man-Portable Air Defence Systems (MANPADS). MANPADS of the former Soviet Union have been exported around the World, and can be found in use by many armed forces. Targets for non-ManPAD SAMs will usually be acquired by air-search radar, then tracked before/while a SAM is ""locked-on"" and then fired. Potential targets, if they are military aircraft, will be identified as friend or foe before being engaged. The developments in the latest and relatively cheap short-range missiles have begun to replace autocannons in this role.",MANPADS
1119,What does MANPADS mean?,"Larger SAMs may be deployed in fixed launchers, but can be towed/re-deployed at will. The SAMs launched by individuals are known in the United States as the Man-Portable Air Defence Systems (MANPADS). MANPADS of the former Soviet Union have been exported around the World, and can be found in use by many armed forces. Targets for non-ManPAD SAMs will usually be acquired by air-search radar, then tracked before/while a SAM is ""locked-on"" and then fired. Potential targets, if they are military aircraft, will be identified as friend or foe before being engaged. The developments in the latest and relatively cheap short-range missiles have begun to replace autocannons in this role.",Man-Portable Air Defence Systems
1120,What sort of things did Bell collect as a child?,"As a child, young Bell displayed a natural curiosity about his world, resulting in gathering botanical specimens as well as experimenting even at an early age. His best friend was Ben Herdman, a neighbor whose family operated a flour mill, the scene of many forays. Young Bell asked what needed to be done at the mill. He was told wheat had to be dehusked through a laborious process and at the age of 12, Bell built a homemade device that combined rotating paddles with sets of nail brushes, creating a simple dehusking machine that was put into operation and used steadily for a number of years. In return, John Herdman gave both boys the run of a small workshop in which to ""invent"".",botanical specimens
1121,What was Bell's reward for his dehusking machine?,"As a child, young Bell displayed a natural curiosity about his world, resulting in gathering botanical specimens as well as experimenting even at an early age. His best friend was Ben Herdman, a neighbor whose family operated a flour mill, the scene of many forays. Young Bell asked what needed to be done at the mill. He was told wheat had to be dehusked through a laborious process and at the age of 12, Bell built a homemade device that combined rotating paddles with sets of nail brushes, creating a simple dehusking machine that was put into operation and used steadily for a number of years. In return, John Herdman gave both boys the run of a small workshop in which to ""invent"".",small workshop
1122,What sort of mill did Bell's neighbors run?,"As a child, young Bell displayed a natural curiosity about his world, resulting in gathering botanical specimens as well as experimenting even at an early age. His best friend was Ben Herdman, a neighbor whose family operated a flour mill, the scene of many forays. Young Bell asked what needed to be done at the mill. He was told wheat had to be dehusked through a laborious process and at the age of 12, Bell built a homemade device that combined rotating paddles with sets of nail brushes, creating a simple dehusking machine that was put into operation and used steadily for a number of years. In return, John Herdman gave both boys the run of a small workshop in which to ""invent"".",flour
1123,Who was Bell's closest friend as a child?,"As a child, young Bell displayed a natural curiosity about his world, resulting in gathering botanical specimens as well as experimenting even at an early age. His best friend was Ben Herdman, a neighbor whose family operated a flour mill, the scene of many forays. Young Bell asked what needed to be done at the mill. He was told wheat had to be dehusked through a laborious process and at the age of 12, Bell built a homemade device that combined rotating paddles with sets of nail brushes, creating a simple dehusking machine that was put into operation and used steadily for a number of years. In return, John Herdman gave both boys the run of a small workshop in which to ""invent"".",Ben Herdman
1124,Bell's dehusking machine combined what with nail brushes?,"As a child, young Bell displayed a natural curiosity about his world, resulting in gathering botanical specimens as well as experimenting even at an early age. His best friend was Ben Herdman, a neighbor whose family operated a flour mill, the scene of many forays. Young Bell asked what needed to be done at the mill. He was told wheat had to be dehusked through a laborious process and at the age of 12, Bell built a homemade device that combined rotating paddles with sets of nail brushes, creating a simple dehusking machine that was put into operation and used steadily for a number of years. In return, John Herdman gave both boys the run of a small workshop in which to ""invent"".",rotating paddles
1125,What advancement aided in spreading knowledge across generations?,"The development of writing enabled knowledge to be stored and communicated across generations with much greater fidelity. Combined with the development of agriculture, which allowed for a surplus of food, it became possible for early civilizations to develop, because more time and effort could be devoted to tasks (other than food production) than hunter-gatherers or early subsistence farmers had available. This surplus allowed a community to support individuals who did things other than work towards bare survival. These other tasks included systematic studies of nature, study of written information gathered and recorded by others, and often of adding to that body of information.",The development of writing
1126,Having a surplus of food allowed farmers and hunter-gatherers to spend less time working on what?,"The development of writing enabled knowledge to be stored and communicated across generations with much greater fidelity. Combined with the development of agriculture, which allowed for a surplus of food, it became possible for early civilizations to develop, because more time and effort could be devoted to tasks (other than food production) than hunter-gatherers or early subsistence farmers had available. This surplus allowed a community to support individuals who did things other than work towards bare survival. These other tasks included systematic studies of nature, study of written information gathered and recorded by others, and often of adding to that body of information.",food production
1127,The advancement of agriculture made what possible?,"The development of writing enabled knowledge to be stored and communicated across generations with much greater fidelity. Combined with the development of agriculture, which allowed for a surplus of food, it became possible for early civilizations to develop, because more time and effort could be devoted to tasks (other than food production) than hunter-gatherers or early subsistence farmers had available. This surplus allowed a community to support individuals who did things other than work towards bare survival. These other tasks included systematic studies of nature, study of written information gathered and recorded by others, and often of adding to that body of information.",a surplus of food
1128,Who was able to support the people who were adding to the written knowledge of nature?,"The development of writing enabled knowledge to be stored and communicated across generations with much greater fidelity. Combined with the development of agriculture, which allowed for a surplus of food, it became possible for early civilizations to develop, because more time and effort could be devoted to tasks (other than food production) than hunter-gatherers or early subsistence farmers had available. This surplus allowed a community to support individuals who did things other than work towards bare survival. These other tasks included systematic studies of nature, study of written information gathered and recorded by others, and often of adding to that body of information.",community
1129,"Before agriculture advancements, what were farmers having to do?","The development of writing enabled knowledge to be stored and communicated across generations with much greater fidelity. Combined with the development of agriculture, which allowed for a surplus of food, it became possible for early civilizations to develop, because more time and effort could be devoted to tasks (other than food production) than hunter-gatherers or early subsistence farmers had available. This surplus allowed a community to support individuals who did things other than work towards bare survival. These other tasks included systematic studies of nature, study of written information gathered and recorded by others, and often of adding to that body of information.",work towards bare survival
1130,In what year was the north-west pavilion turned into a swimming pool?,"During World War I, the palace, then the home of King George V and Queen Mary, escaped unscathed. Its more valuable contents were evacuated to Windsor but the royal family remained in situ. The King imposed rationing at the palace, much to the dismay of his guests and household. To the King's later regret, David Lloyd George persuaded him to go further by ostentatiously locking the wine cellars and refraining from alcohol, to set a good example to the supposedly inebriated working class. The workers continued to imbibe and the King was left unhappy at his enforced abstinence. In 1938, the north-west pavilion, designed by Nash as a conservatory, was converted into a swimming pool.",1938
1131,Who lived at Buckingham Palace during WWI?,"During World War I, the palace, then the home of King George V and Queen Mary, escaped unscathed. Its more valuable contents were evacuated to Windsor but the royal family remained in situ. The King imposed rationing at the palace, much to the dismay of his guests and household. To the King's later regret, David Lloyd George persuaded him to go further by ostentatiously locking the wine cellars and refraining from alcohol, to set a good example to the supposedly inebriated working class. The workers continued to imbibe and the King was left unhappy at his enforced abstinence. In 1938, the north-west pavilion, designed by Nash as a conservatory, was converted into a swimming pool.",King George V and Queen Mary
1132,Where were valuable items from Buckingham Palace taken during WWI?,"During World War I, the palace, then the home of King George V and Queen Mary, escaped unscathed. Its more valuable contents were evacuated to Windsor but the royal family remained in situ. The King imposed rationing at the palace, much to the dismay of his guests and household. To the King's later regret, David Lloyd George persuaded him to go further by ostentatiously locking the wine cellars and refraining from alcohol, to set a good example to the supposedly inebriated working class. The workers continued to imbibe and the King was left unhappy at his enforced abstinence. In 1938, the north-west pavilion, designed by Nash as a conservatory, was converted into a swimming pool.",Windsor
1133,The king refrained from doing what during the war?,"During World War I, the palace, then the home of King George V and Queen Mary, escaped unscathed. Its more valuable contents were evacuated to Windsor but the royal family remained in situ. The King imposed rationing at the palace, much to the dismay of his guests and household. To the King's later regret, David Lloyd George persuaded him to go further by ostentatiously locking the wine cellars and refraining from alcohol, to set a good example to the supposedly inebriated working class. The workers continued to imbibe and the King was left unhappy at his enforced abstinence. In 1938, the north-west pavilion, designed by Nash as a conservatory, was converted into a swimming pool.",alcohol
1134,Buckingham Palace was untouched during which war?,"During World War I, the palace, then the home of King George V and Queen Mary, escaped unscathed. Its more valuable contents were evacuated to Windsor but the royal family remained in situ. The King imposed rationing at the palace, much to the dismay of his guests and household. To the King's later regret, David Lloyd George persuaded him to go further by ostentatiously locking the wine cellars and refraining from alcohol, to set a good example to the supposedly inebriated working class. The workers continued to imbibe and the King was left unhappy at his enforced abstinence. In 1938, the north-west pavilion, designed by Nash as a conservatory, was converted into a swimming pool.",World War I
1135,When did Julius Caesar die?,"Caesar was now the primary figure of the Roman state, enforcing and entrenching his powers. His enemies feared that he had ambitions to become an autocratic ruler. Arguing that the Roman Republic was in danger, a group of senators hatched a conspiracy and assassinated Caesar at a meeting of the Senate in March 44 BC.  Mark Antony, Caesar's lieutenant, condemned Caesar's assassination, and war broke out between the two factions. Antony was denounced as a public enemy, and Caesar's adopted son and chosen heir, Gaius Octavianus, was entrusted with the command of the war against him. At the Battle of Mutina Mark Antony was defeated by the consuls Hirtius and Pansa, who were both killed.",March 44 BC
1136,Which former lieutenant of Caesar was considered a public threat after Caesar was assassinated?,"Caesar was now the primary figure of the Roman state, enforcing and entrenching his powers. His enemies feared that he had ambitions to become an autocratic ruler. Arguing that the Roman Republic was in danger, a group of senators hatched a conspiracy and assassinated Caesar at a meeting of the Senate in March 44 BC.  Mark Antony, Caesar's lieutenant, condemned Caesar's assassination, and war broke out between the two factions. Antony was denounced as a public enemy, and Caesar's adopted son and chosen heir, Gaius Octavianus, was entrusted with the command of the war against him. At the Battle of Mutina Mark Antony was defeated by the consuls Hirtius and Pansa, who were both killed.",Mark Antony
1137,Which group of people conspired against Caesar in order to have him assassinated?,"Caesar was now the primary figure of the Roman state, enforcing and entrenching his powers. His enemies feared that he had ambitions to become an autocratic ruler. Arguing that the Roman Republic was in danger, a group of senators hatched a conspiracy and assassinated Caesar at a meeting of the Senate in March 44 BC.  Mark Antony, Caesar's lieutenant, condemned Caesar's assassination, and war broke out between the two factions. Antony was denounced as a public enemy, and Caesar's adopted son and chosen heir, Gaius Octavianus, was entrusted with the command of the war against him. At the Battle of Mutina Mark Antony was defeated by the consuls Hirtius and Pansa, who were both killed.",senators
1138,Why did the Roman senators wish to have Caesar assassinated?,"Caesar was now the primary figure of the Roman state, enforcing and entrenching his powers. His enemies feared that he had ambitions to become an autocratic ruler. Arguing that the Roman Republic was in danger, a group of senators hatched a conspiracy and assassinated Caesar at a meeting of the Senate in March 44 BC.  Mark Antony, Caesar's lieutenant, condemned Caesar's assassination, and war broke out between the two factions. Antony was denounced as a public enemy, and Caesar's adopted son and chosen heir, Gaius Octavianus, was entrusted with the command of the war against him. At the Battle of Mutina Mark Antony was defeated by the consuls Hirtius and Pansa, who were both killed.",the Roman Republic was in danger
1139,Who was now considered to be the primary figure in the Roman state?,"Caesar was now the primary figure of the Roman state, enforcing and entrenching his powers. His enemies feared that he had ambitions to become an autocratic ruler. Arguing that the Roman Republic was in danger, a group of senators hatched a conspiracy and assassinated Caesar at a meeting of the Senate in March 44 BC.  Mark Antony, Caesar's lieutenant, condemned Caesar's assassination, and war broke out between the two factions. Antony was denounced as a public enemy, and Caesar's adopted son and chosen heir, Gaius Octavianus, was entrusted with the command of the war against him. At the Battle of Mutina Mark Antony was defeated by the consuls Hirtius and Pansa, who were both killed.",Caesar
1140,How many times did Archbishop Ramsey meet with Paul VI?,"Paul VI was the first pope to receive an Anglican Archbishop of Canterbury, Michael Ramsey in official audience as Head of Church, after the private audience visit of Archbishop Geoffrey Fisher to Pope John XXIII on 2 December 1960. Ramsey met Paul three times during his visit and opened the Anglican Centre in Rome to increase their mutual knowledge. He praised Paul VI[e] and his contributions in the service of unity. Paul replied that ""by entering into our house, you are entering your own house, we are happy to open our door and heart to you."" The two Church leaders signed a common declaration, which put an end to the disputes of the past and outlined a common agenda for the future.",three
1141,Where did Rolfe marry Pocahontas?,"Some early male settlers married Indigenous American women and had informal unions with them. Early contact between Indigenous Americans and Europeans was often charged with tension, but also had moments of friendship, cooperation, and intimacy. Marriages took place in both English and Latin colonies between European men and Native women. For instance, on April 5, 1614, Pocahontas, a Powhatan woman in present-day Virginia, married the Englishman John Rolfe of Jamestown. Their son Thomas Rolfe was an ancestor to many descendants in First Families of Virginia. As a result, English laws did not exclude people with some Indigenous American ancestry from being considered English or white.",present-day Virginia
1142,What center did Archbishop Ramsey open in Rome to improve Anglican and Catholic relations?,"Paul VI was the first pope to receive an Anglican Archbishop of Canterbury, Michael Ramsey in official audience as Head of Church, after the private audience visit of Archbishop Geoffrey Fisher to Pope John XXIII on 2 December 1960. Ramsey met Paul three times during his visit and opened the Anglican Centre in Rome to increase their mutual knowledge. He praised Paul VI[e] and his contributions in the service of unity. Paul replied that ""by entering into our house, you are entering your own house, we are happy to open our door and heart to you."" The two Church leaders signed a common declaration, which put an end to the disputes of the past and outlined a common agenda for the future.",Anglican Centre
1143,What did English laws not exclude people with some native blood from being?,"Some early male settlers married Indigenous American women and had informal unions with them. Early contact between Indigenous Americans and Europeans was often charged with tension, but also had moments of friendship, cooperation, and intimacy. Marriages took place in both English and Latin colonies between European men and Native women. For instance, on April 5, 1614, Pocahontas, a Powhatan woman in present-day Virginia, married the Englishman John Rolfe of Jamestown. Their son Thomas Rolfe was an ancestor to many descendants in First Families of Virginia. As a result, English laws did not exclude people with some Indigenous American ancestry from being considered English or white.",considered English or white
1144,Who married Indigenous women early on?,"Some early male settlers married Indigenous American women and had informal unions with them. Early contact between Indigenous Americans and Europeans was often charged with tension, but also had moments of friendship, cooperation, and intimacy. Marriages took place in both English and Latin colonies between European men and Native women. For instance, on April 5, 1614, Pocahontas, a Powhatan woman in present-day Virginia, married the Englishman John Rolfe of Jamestown. Their son Thomas Rolfe was an ancestor to many descendants in First Families of Virginia. As a result, English laws did not exclude people with some Indigenous American ancestry from being considered English or white.",male settlers
1145,Who was Archbishop of Canterbury during Paul VI papacy?,"Paul VI was the first pope to receive an Anglican Archbishop of Canterbury, Michael Ramsey in official audience as Head of Church, after the private audience visit of Archbishop Geoffrey Fisher to Pope John XXIII on 2 December 1960. Ramsey met Paul three times during his visit and opened the Anglican Centre in Rome to increase their mutual knowledge. He praised Paul VI[e] and his contributions in the service of unity. Paul replied that ""by entering into our house, you are entering your own house, we are happy to open our door and heart to you."" The two Church leaders signed a common declaration, which put an end to the disputes of the past and outlined a common agenda for the future.",Michael Ramsey
1146,Who was the first pope to meet with an Anglican Archbishop as an official Head of Church since 1960?,"Paul VI was the first pope to receive an Anglican Archbishop of Canterbury, Michael Ramsey in official audience as Head of Church, after the private audience visit of Archbishop Geoffrey Fisher to Pope John XXIII on 2 December 1960. Ramsey met Paul three times during his visit and opened the Anglican Centre in Rome to increase their mutual knowledge. He praised Paul VI[e] and his contributions in the service of unity. Paul replied that ""by entering into our house, you are entering your own house, we are happy to open our door and heart to you."" The two Church leaders signed a common declaration, which put an end to the disputes of the past and outlined a common agenda for the future.",Paul VI
1147,When was the wedding of Rolfe and Pocahontas?,"Some early male settlers married Indigenous American women and had informal unions with them. Early contact between Indigenous Americans and Europeans was often charged with tension, but also had moments of friendship, cooperation, and intimacy. Marriages took place in both English and Latin colonies between European men and Native women. For instance, on April 5, 1614, Pocahontas, a Powhatan woman in present-day Virginia, married the Englishman John Rolfe of Jamestown. Their son Thomas Rolfe was an ancestor to many descendants in First Families of Virginia. As a result, English laws did not exclude people with some Indigenous American ancestry from being considered English or white.","April 5, 1614"
